"","hibpe","diabe","cancre","lunge","hearte","stroke","psyche","arthre","dyslipe","livere","kidneye","digeste","asthmae","dressa","batha","eata","beda","toilta","urina","moneya","medsa","shopa","mealsa","housewka","walk100a","walk1kma","joga","climsa","chaira","stoopa","armsa","lifta","dimea","dsight","nsight","hearing","shlt","painfr","fall","hlthlm_c","slfmem","mbmi","hearaid"
"medsa",0.0673290438971394,0.0384893567970987,0.0167524354964319,0.0563425201495657,0.0708895431552548,0.105643725579458,0.120981630374367,0.085914044374036,0.0138083684226135,0.0390468698788267,0.0406303038796088,0.058368716524231,0.0394017999908997,0.304802342788619,0.327833120881748,0.316625029618496,0.293686081106869,0.270760950666083,0.261775380501762,0.414324371264136,1,0.412979763341946,0.339789470675748,0.339539750600757,0.121499378194316,0.253321245714943,0.17132646816089,0.208964315165111,0.216848467790661,0.218146486154486,0.247871649299564,0.256249076485119,0.276669767165623,0.132112454742383,0.103043920554124,0.133126119645803,0.177980182086273,0.117480687791878,0.0890417072280126,0.100159698258855,0.160082879536416,0.0307225726317603,0.00976382181741095
"shopa",0.0977771862383184,0.0428603458837412,0.0160868612253513,0.0859571807044565,0.0847378390481898,0.151754082672983,0.113211058296786,0.0958673687968639,0.0110435643804022,0.0278914302814837,0.0281561552953661,0.0466563226638058,0.0576439226302561,0.403139687792011,0.456833603661422,0.38233406777114,0.42186841682013,0.395307465541454,0.276936171041811,0.582560991332234,0.412979763341946,1,0.535898138411285,0.529754998078466,0.187297703828848,0.373749174349445,0.222742202462735,0.277496294751961,0.282493465790699,0.291323866206324,0.289712028006171,0.394409018463431,0.313745270429189,0.175332264296892,0.116105158124634,0.1487345913951,0.218718170940744,0.158795300070367,0.101108494404667,0.121282342504411,0.148492605357949,0.048890105043655,0.0209931325718323
"mealsa",0.104955018899437,0.0580598135492869,0.0151591638264513,0.0895897915174432,0.0798192267630368,0.181417751761313,0.107449488614734,0.0957078912692193,0.0436252907276474,0.0297660810894025,0.038780431559243,0.0450070387739912,0.0671651184038267,0.462041249610125,0.541785564068197,0.449382854253648,0.458760196438085,0.438745497144428,0.301760221201165,0.414417160786398,0.339789470675748,0.535898138411285,1,0.738046130243979,0.228684881026409,0.426600773119878,0.230398733402781,0.299949997041264,0.306747768308785,0.318195111976604,0.32202677527869,0.436980400341987,0.350595464210451,0.166732413896079,0.109583121424411,0.144525097407221,0.240070499822966,0.159764417595469,0.100155791069386,0.124245663021137,0.115115459957663,0.0497283755872344,0.0245124012099467
"housewka",0.106986326959473,0.0591593693935381,0.0207802472435012,0.0941879369175055,0.100623696384678,0.179852179494308,0.101139554340558,0.101589628085976,0.0475445184426896,0.0439492355986544,0.042123151343342,0.0536838012298414,0.0728048866547577,0.459044092388664,0.556358729454629,0.432960680179877,0.488624301198883,0.471168152384953,0.320344235822359,0.409923990784326,0.339539750600757,0.529754998078466,0.738046130243979,1,0.241340490500391,0.445858559914502,0.246600305238708,0.321986186039943,0.338817163456221,0.336991627181618,0.347015542167975,0.463161545286133,0.335728561105199,0.179241769592397,0.116205727919979,0.147710534061972,0.261235663379719,0.186099388727013,0.117367473176468,0.134263798565174,0.126912290108029,0.0570484399527791,0.0253731347726186
"walk100a",0.0351119394928401,0.0235485941674105,-0.00275840828054636,0.0371141527915771,0.0503290729983021,0.0376590695013851,0.0341828058578095,0.0487920118058611,0.0155151676490075,0.0126240983628444,0.0292324336895009,0.0176941961576469,0.0378624252752706,0.206414289469602,0.209685037304999,0.190037771457326,0.190634512141019,0.184646210251743,0.075335525984745,0.14152316360434,0.121499378194316,0.187297703828848,0.228684881026409,0.241340490500391,1,0.406643653743434,0.135283424627738,0.159766391288405,0.169399976913129,0.16005138711972,0.135802265161024,0.214840487563609,0.149823661140426,0.0744324686640149,0.0506264431546802,0.0566608930116154,0.10330088145354,0.0863498881854321,0.0440263031944969,0.0495709791560984,0.0496089875452653,0.0334657948741167,0.0107233462145297
"walk1kma",0.128194649043197,0.0692978242323521,0.0280160914485407,0.112668342352211,0.142102808078819,0.134144850625537,0.0608206723379603,0.133315088347429,0.0502137566070497,0.0361747215452782,0.0448810522819662,0.0515634486927808,0.0980671364689698,0.32763137092967,0.386793301754363,0.282526701885105,0.361551423510242,0.39405124136702,0.218630102714916,0.316935607107476,0.253321245714943,0.373749174349445,0.426600773119878,0.445858559914502,0.406643653743434,1,0.416741109131539,0.430393590029417,0.403750942198871,0.403108181851425,0.301939170032447,0.445480737674163,0.264310864807296,0.194230665155505,0.126884545593392,0.175259972734675,0.294195232403651,0.217893424529734,0.123120680312656,0.141456372788737,0.158004711344395,0.0796442771939077,0.024997663956715
"joga",0.157329923439633,0.0827339571726975,0.0335559092516294,0.129750121837405,0.180531646831939,0.0820915096561129,0.0523377911655334,0.172887303233052,0.0761924092523986,0.0510307243072811,0.0709877237985932,0.0917911914748974,0.105517940708127,0.187950941178986,0.218804302704777,0.142479141112092,0.196203618542638,0.264860267152611,0.160545772739138,0.225679853322744,0.17132646816089,0.222742202462735,0.230398733402781,0.246600305238708,0.135283424627738,0.416741109131539,1,0.465976579323017,0.349458304132726,0.364564442435897,0.214544372509553,0.284287495130937,0.163751072950517,0.26215582616068,0.185737613904084,0.239533152371125,0.388217121211796,0.271813396026105,0.126961547283263,0.192309644937139,0.25454141525429,0.0895028079945532,0.0155605546156568
"climsa",0.150931432311102,0.0918127788961142,0.0431930557376549,0.150274700712291,0.173162579468181,0.106468082364933,0.0520702715789535,0.223200690168374,0.079380457724858,0.0589848881766993,0.0882128852421267,0.133464009584583,0.1257815814147,0.237789901447376,0.286043781576044,0.18010726243258,0.263640740105792,0.350310989167532,0.202977304667056,0.272782282099945,0.208964315165111,0.277496294751961,0.299949997041264,0.321986186039943,0.159766391288405,0.430393590029417,0.465976579323017,1,0.483452843662773,0.480958345943545,0.271957972044591,0.34344785615939,0.189256256193835,0.263636054131321,0.19362269450119,0.235526240436722,0.369624871226169,0.330833953601048,0.154005692714297,0.242451251191011,0.250277310153953,0.0725460542719493,0.00893234402013299
"chaira",0.120646807893486,0.065020743816504,0.0271042862403058,0.0963542461193592,0.13070255523406,0.106157146205069,0.0541959556335744,0.225928771007933,0.0645392977188711,0.0555906535363397,0.0800968603154566,0.113190659871334,0.0696488404030571,0.275741297446803,0.318481144702216,0.214324115065547,0.322844789794665,0.409247997998712,0.225822223047401,0.265418501526975,0.216848467790661,0.282493465790699,0.306747768308785,0.338817163456221,0.169399976913129,0.403750942198871,0.349458304132726,0.483452843662773,1,0.517639700223824,0.303801739672066,0.338853024530562,0.22091127301429,0.235270042420466,0.178622233794411,0.202523951980571,0.314725330036628,0.319043643978539,0.154098680124215,0.201695718515485,0.219128414841187,0.0540344036941993,0.00935095684076403
"stoopa",0.120257713548289,0.0823077929212245,0.0327779839764224,0.104180990213888,0.120438760413999,0.110803657001311,0.0563608604375082,0.248622264150888,0.0633200209255428,0.0620982980958611,0.0928299428709975,0.117723931246868,0.0697956421841473,0.283499304583035,0.326123625064208,0.212991837690347,0.315916373434477,0.448435111069914,0.214299107403168,0.26708897027509,0.218146486154486,0.291323866206324,0.318195111976604,0.336991627181618,0.16005138711972,0.403108181851425,0.364564442435897,0.480958345943545,0.517639700223824,1,0.327063729853055,0.354302449439662,0.213541203946042,0.2232837903542,0.170902183806214,0.194942053918389,0.337798118714321,0.320895174104393,0.147270567173216,0.224511245524375,0.221125781879074,0.0644884885437206,0.00883582595615307
"armsa",0.075492200927867,0.0529828616542682,0.0156689507092513,0.0751467700565714,0.0721073229962129,0.121222834097357,0.0554634992327793,0.152403540617054,0.023230552100069,0.029705206718832,0.0519238884333254,0.0583644228657521,0.0482925269282469,0.363506891260398,0.390902059904187,0.307460037328822,0.317481161502218,0.317604082297372,0.228050548690319,0.253864033578053,0.247871649299564,0.289712028006171,0.32202677527869,0.347015542167975,0.135802265161024,0.301939170032447,0.214544372509553,0.271957972044591,0.303801739672066,0.327063729853055,1,0.374856020185094,0.309515449826074,0.144974913658256,0.102670276279226,0.138064194953247,0.224193599897384,0.193158868040334,0.0952525398728759,0.132311161886925,0.135077736118094,0.0468725722381953,0.0174565756845761
"lifta",0.103114976254143,0.0625436929097407,0.0201890495136471,0.0915859845967744,0.10982704407515,0.136714501291018,0.06985085679038,0.119675221303015,0.0350595873040244,0.022091665456493,0.0316803320453129,0.0559801086931055,0.0688844473055564,0.370770770895694,0.42286239367013,0.330778735770161,0.378670590343566,0.374987454594997,0.248144672298287,0.326307571371647,0.256249076485119,0.394409018463431,0.436980400341987,0.463161545286133,0.214840487563609,0.445480737674163,0.284287495130937,0.34344785615939,0.338853024530562,0.354302449439662,0.374856020185094,1,0.347720098103958,0.182784937957622,0.130482450509705,0.168504422149903,0.261916521743172,0.18460055241463,0.127771218106473,0.136081980972682,0.142378720952219,0.0687424360740155,0.0274130532617207
"dimea",0.0771246118343812,0.0270655345573539,-0.00386893391646641,0.0433682549854781,0.0472322972134323,0.127612560817468,0.0749747777784574,0.0549914305467367,0.0204954789658028,0.023092798867182,0.0108196875108254,0.00790659794660609,0.0461137437980323,0.347647966209483,0.347890887985291,0.399682732202675,0.322319065781723,0.283040450229573,0.25757287274028,0.281458793846354,0.276669767165623,0.313745270429189,0.350595464210451,0.335728561105199,0.149823661140426,0.264310864807296,0.163751072950517,0.189256256193835,0.22091127301429,0.213541203946042,0.309515449826074,0.347720098103958,1,0.110620397940114,0.0821604534828469,0.0994918754068582,0.158418727519577,0.104203210071981,0.0717574740977093,0.0854479983654625,0.0966835257036715,0.0331230272742209,0.00778332597207132
"dsight",0.0796321277443667,0.0631253874755269,0.0231102988261693,0.0885491032455502,0.0887711872668634,0.0522262734831869,0.0352719715969303,0.157964161381778,0.0260535847263104,0.0426883433039901,0.0679906085159221,0.0978912594642347,0.0733151393009176,0.125887076032437,0.139036177749878,0.0993769829867879,0.132848034272457,0.184735401944172,0.110712629368479,0.186669604986935,0.132112454742383,0.175332264296892,0.166732413896079,0.179241769592397,0.0744324686640149,0.194230665155505,0.26215582616068,0.263636054131321,0.235270042420466,0.2232837903542,0.144974913658256,0.182784937957622,0.110620397940114,1,0.454644718665131,0.395201958304006,0.348941929347452,0.22399207262357,0.125440701840864,0.164754171560282,0.324334342950537,0.0277976452508458,0.00302743405220051
"nsight",0.0577510552242476,0.0627886034881554,0.00573935902076337,0.051410884743459,0.0619548581192109,0.0338635116922091,0.0327222004865215,0.121307948660252,0.036672831868089,0.0394926144473349,0.0497291587408042,0.0757575824675919,0.0468250279192107,0.0787338252667348,0.0803775814862968,0.0714262204280603,0.094013816399305,0.121289969682364,0.0756322062684281,0.123214786637588,0.103043920554124,0.116105158124634,0.109583121424411,0.116205727919979,0.0506264431546802,0.126884545593392,0.185737613904084,0.19362269450119,0.178622233794411,0.170902183806214,0.102670276279226,0.130482450509705,0.0821604534828469,0.454644718665131,1,0.322921782724849,0.266176061001898,0.17644366246132,0.0837480443664379,0.129274964009291,0.269884621202437,0.0168884809943376,-0.00329347000200344
